course_code,course_number,course_type,course_url,credit_hours,department,department_name,description,distribution_group,grade_mode,language,long_title,prerequisites,restrictions,title
ELEC 439,439,Lecture,,3,ELEC,Electrical & Computer Eng.,"In many applications one is faced with the task of simulating or controlling complex dynamical systems. Such applications include for instance, weather prediction, air quality management, VLSI chip design, molecular dynamics, active noise reduction, chemical reactors, etc. In all these cases complexity manifests itself as the number of first order differential equations which arise. Model (order) reduction (MOR) seeks to replace a large-scale system described in terms of differential or difference equations by a system of much lower dimension that has nearly the same response characteristics. The ensuing methods have been an indispensable tool for speeding up the simulations arising in various engineering applications involving large-scale dynamical systems. In this course we will develop the underlying approximation theory paying particular attention to its data-driven aspects. Graduate/Undergraduate Equivalency: ELEC 519. Recommended Prerequisite(s): ELEC 301 OR MATH 355 OR CAAM 335 Mutually Exclusive: Cannot register for ELEC 439 if student has credit for ELEC 519.",,Standard Letter,Taught in English,DATA SCIENCE AND DYNAMICAL SYSTEMS,,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,DATA AND SYSTEMS
ELEC 440,440,Lecture,http://www.owlnet.rice.edu/~comp440,4,ELEC,Electrical & Computer Eng.,"This is a foundational course in artificial intelligence, the discipline of designing intelligent agents. The course will cover the design and analysis of agents that do the right thing in the face of limited information and computational resources. The course revolves around two main questions: how agents decide what to do, and how they learn from experience. Tools from computer science, probability theory, and game theory will be used. Interesting examples of intelligent agents will be covered, including poker playing programs, bots for various games (e.g. WoW), DS1 -- the spacecraft that performed an autonomous flyby of Comet Borrely in 2001, Stanley -- the Stanford robot car that won the Darpa Grand Challenge, Google Maps and how it calculates driving directions, face and handwriting recognizers, Fedex package delivery planners, airline fare prediction sites, and fraud detectors in financial transactions. Cross-list: COMP 440, Graduate/Undergraduate Equivalency: ELEC 557. Mutually Exclusive: Cannot register for ELEC 440 if student has credit for ELEC 557.",,Standard Letter,Taught in English,ARTIFICIAL INTELLIGENCE,(MATH 212 OR MATH 232) AND (ELEC 303 OR STAT 310 OR ECON 307 OR STAT 311 OR STAT 312 OR STAT 315 OR DSCI 301) AND (CAAM 334 OR CAAM 335 OR CMOR 302 OR CMOR 303 OR MATH 354 OR MATH 355) AND (COMP 382 OR COMP 582) AND (COMP 310 OR COMP 318),Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,ARTIFICIAL INTELLIGENCE
ELEC 442,442,Lecture,,3,ELEC,Electrical & Computer Eng.,"There has been growing interest in analog computing in both academia and industry in the era of artificial intelligence. This course provides a comprehensive introduction to various aspects of modern analog integrated circuits. Students will learn how to 1) analyze, simulate and design a complementary metal oxide semiconductor (CMOS) analog integrated circuit, 2) analyze and simulate elementary transistor stages, current mirrors, supply- and temperature-independent bias and reference circuits, and 3) explore performance evaluation using computer-aided design tools. Graduate/Undergraduate Equivalency: ELEC 516. Mutually Exclusive: Cannot register for ELEC 442 if student has credit for ELEC 516.",,Standard Letter,Taught in English,INTRODUCTION TO ANALOG INTEGRATED CIRCUITS,ELEC 242,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,ANALOG INTEGRATED CIRCUITS
ELEC 445,445,Lecture,,3,ELEC,Electrical & Computer Eng.,"This course covers theory and tools for representing and processing digital images and video.  Topics include: multi-dimensional sampling, transforms, and filtering; human visual perception; visual scanning and display; tomographic reconstruction; image and video coding theory and standards; video streaming; and, image restoration.  Recommended Prerequisite(s): ELEC 431",,Standard Letter,Taught in English,INTRODUCTION TO DIGITAL IMAGE AND VIDEO PROCESSING,ELEC 242 OR ELEC 301,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,DIGITAL IMAGE & VIDEO PROC.
ELEC 447,447,Lecture,,3,ELEC,Electrical & Computer Eng.,"An introduction to the basic concepts, algorithms and applications in computer vision. Topics include: image processing pipelines, low-level vision/image processing methods such as filtering and edge detection, mid-level vision topics such as segmentation and feature detection, and high-level vision tasks such as object recognition and face recognition with neural networks. The course will involve programming and implementing basic computer vision algorithms in Python. Cross-list: COMP 447, Graduate/Undergraduate Equivalency: ELEC 546. Mutually Exclusive: Cannot register for ELEC 447 if student has credit for ELEC 345/ELEC 546.",,Standard Letter,Taught in English,INTRODUCTION TO COMPUTER VISION,ELEC 242 OR ELEC 301 OR ELEC 475 OR COMP 330,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,INTRO TO COMPUTER VISION
ELEC 448,448,Lecture,,3,ELEC,Electrical & Computer Eng.,"The goals of the course are to study basic concepts, and algorithms in 3D computer vision and their integration into various applications including autonomous navigation and augmented reality systems. Topics include: cameras, camera models, stereo, structured light, LIDAR, time-of-flight, case studies on autonomous driving, augmented reality and 3D avatars. The course will involve programming and implementing basic computer vision algorithms in Matlab/Python. Students will learn the fundamentals behind various 3D sensors and 3D computer vision algorithms and how the different performance capabilities make them relevant for integration into various application domains including autonomous navigation, augmented reality and 3D avatars. Graduate/Undergraduate Equivalency: ELEC 541. Recommended Prerequisite(s): Prior knowledge of undergraduate-level linear algebra is a plus, but the course is self-contained. Mutually Exclusive: Cannot register for ELEC 448 if student has credit for ELEC 541.",,Standard Letter,Taught in English,3D VISION: FROM AUTONOMOUS CARS TO THE METAVERSE,,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,ADVS IN 3D SENSING & VIS
ELEC 450,450,Lecture,,4,ELEC,Electrical & Computer Eng.,"Robots have fascinated people for generations. Today, robots are built for applications as diverse as exploring remote planets, de-mining war zones, cleaning toxic waste, assembling cars, inspecting pipes in industrial plants and mowing lawns. Robots are also interacting with humans in a variety of ways: robots are museum guides, robots assist surgeon sin life threatening operations, and robotic cars can drive us around. The field of robotics studies not only the design of new mechanisms but also the development of artificial intelligence frameworks to make these mechanism useful in the physical world, integrating computer science, engineering, mathematics and more recently biology and sociology, in a unique way. This class will present fundamental algorithmic advances that enable today’s robots to move in real environments and plan their actions. It will also explore fundamentals of the field of Artificial Intelligence through the prism of robotics. The class involves a significant programming project. Cross-list: COMP 450, MECH 450, Graduate/Undergraduate Equivalency: ELEC 550. Mutually Exclusive: Cannot register for ELEC 450 if student has credit for ELEC 550.",,Standard Letter,Taught in English,ALGORITHMIC AND AI-DRIVEN ROBOTICS,COMP 321 AND COMP 215,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,ALGORITHMIC AND AI-DRIVEN ROBO
ELEC 460,460,Lecture,,3,ELEC,Electrical & Computer Eng.,"Topics covered include MEMS, MOEMS, and NEMS systems along with special materials such as liquid crystals, piezoelectrics, memory metal, and topological insulators. Graduate/Undergraduate Equivalency: ELEC 560. Mutually Exclusive: Cannot register for ELEC 460 if student has credit for ELEC 560.",,Standard Letter,Taught in English,PHYSICS OF SENSOR MATERIALS AND NANOSENSOR TECHNOLOGY,ELEC 261 AND ELEC 305,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,PHYSICS OF SENSORS
ELEC 461,461,Lecture,,3,ELEC,Electrical & Computer Eng.,"This course will provide a basic understanding of the principles of applied quantum mechanics, with examples of real-world applications. A foundation is laid for advanced topics in the areas of lasers, microwave and optical detectors, nanoelectronics, quantum computers, quantum sensors, etc. Senior undergraduate students and junior graduate students in the areas of quantum engineering, nanotechnology, photonics and electronics, especially experimentalists, will find this course useful. Graduate/Undergraduate Equivalency: ELEC 580. Recommended Prerequisite(s): Basic knowledge of: (1) calculus, linear algebra, complex number, vector operation, differential equations; (2) classical mechanics; (3) classical electromagnetics; (4) atomic structure, chemical boding; (5) basic quantum mechanics, including static Schrodinger equation. Mutually Exclusive: Cannot register for ELEC 461 if student has credit for ELEC 580.",,Standard Letter,Taught in English,QUANTUM MECHANICS AND REAL-WORLD APPLICATIONS,ELEC 361,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,QUANTUM MECH AND APPLICATIONS
ELEC 462,462,Lecture,http://www.ece.rice.edu/~kono/ELEC462.html,3,ELEC,Electrical & Computer Eng.,"This course provides an introduction to the fundamental principles of semiconductor optoelectronic devices. After reviewing the basic elements of quantum mechanics of electrons and photons, light-matter interaction (including laser oscillations), and semiconductor physics (band structure, heterostructures and alloys, optical processes), we will study the details of modern semiconductor devices for the generation, detection, and modulation of light. Graduate/Undergraduate Equivalency: ELEC 562. Mutually Exclusive: Cannot register for ELEC 462 if student has credit for ELEC 562.",,Standard Letter,Taught in English,OPTOELECTRONIC DEVICES,ELEC 305,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,OPTOELECTRONIC DEVICES
ELEC 468,468,Lecture,,3,ELEC,Electrical & Computer Eng.,"Quantum information science and technology have been rapidly developed amid the global quantum research effort on quantum computing, communication, simulation and sensing. Significant progress has been made in quantum computing, demonstrating unprecedented quantum advantage over classical computers on specific computation tasks. This course will cover the engineering and mathematics aspects of quantum computing and algorithms, as well as discuss software implementation using Qiskit on Python platform and hardware implementation using real IBM quantum computers. Graduate/Undergraduate Equivalency: ELEC 568. Recommended Prerequisite(s): Linear Algebra Mutually Exclusive: Cannot register for ELEC 468 if student has credit for ELEC 568.",,Standard Letter,Taught in English,INTRODUCTION TO QUANTUM COMPUTING WITH QISKIT,,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,QUANTUM COMPUTING WITH QISKIT
ELEC 475,475,Lecture,,3,ELEC,Electrical & Computer Eng.,"Basic information theoretic metrics and probabilistic machine learning tools for signals, images, and other data acquired from sensors, including graphical models, density estimation, principal components analysis, support vector machines, and source separation. Graduate/Undergraduate Equivalency: ELEC 575. Mutually Exclusive: Cannot register for ELEC 475 if student has credit for ELEC 575. Graduate/Undergraduate Equivalency: ELEC 575. Mutually Exclusive: Cannot register for ELEC 475 if student has credit for ELEC 575.",,Standard Letter,Taught in English,LEARNING FROM SENSOR DATA,ELEC 303 OR DSCI 301 OR STAT 310 OR STAT 311,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,LEARNING FROM SENSOR DATA
ELEC 477,477,"Independent Study, Internship/Practicum, Laboratory, Lecture, Lecture/Laboratory, Seminar",,1 TO 4,ELEC,Electrical & Computer Eng.,Topics and credit hours vary each semester. Contact department for current semester's topic(s).  Repeatable for Credit.,,Standard Letter,Taught in English,SPECIAL TOPICS,,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,SPECIAL TOPICS
ELEC 478,478,Lecture,,3,ELEC,Electrical & Computer Eng.,"This course is an advanced introduction to concepts, methods, best practices, and theoretical foundations of machine learning. Topics covered include regression, classification, regularization, kernels, clustering, dimension reduction, decision trees, ensemble learning, and neural networks. Graduate/Undergraduate Equivalency: ELEC 578. Mutually Exclusive: Cannot register for ELEC 478 if student has credit for COMP 540/DSCI 303/ELEC 578/STAT 413/STAT 613.",,Standard Letter,Taught in English,INTRODUCTION TO MACHINE LEARNING,(STAT 405 OR CAAM 210 OR CMOR 220 OR COMP 140 OR DSCI 101) AND (CAAM 334 OR CMOR 303 OR CAAM 335 OR CMOR 302 OR MATH 355 OR MATH 354) AND (ELEC 303 OR DSCI 301 OR STAT 310 OR STAT 311),Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,INTRO TO MACHINE LEARNING
ELEC 481,481,Lecture,,3,ELEC,Electrical & Computer Eng.,"Human brain activity is a specific form bioelectromagnetism, which is the multi-disciplinary study of the electromagnetic (EM) phenomena that arise in biological tissues. This class studies the considerable variety of “brain signals” and the generation of their corresponding EM fields that can be detected with electric and magnetic sensors. What is the intrinsic information of each signal type and in what context are those useful? Topics include EM, biophysics, spectral analysis, forward modeling, reciprocity, source localization, and the electrode/insulator design. Your final team project will build a finite element model (FEM) of brain activity and/or biophysical model and analyze those signals in a specific application. Graduate/Undergraduate Equivalency: ELEC 583. Recommended Prerequisite(s): Introductory courses in physics, e.g. Physics 102 or 112 or 126, and time-series signal analysis, e.g., ELEC 242 or NEUR 383. Mutually Exclusive: Cannot register for ELEC 481 if student has credit for ELEC 583.",,Standard Letter,Taught in English,ELECTROMAGNETISM AND THE BRAIN,,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,ELECTROMAGNETISM AND THE BRAIN
ELEC 482,482,Lecture,,3,ELEC,Electrical & Computer Eng.,"This course introduces the latest artificial intelligence technology for healthcare. The class materials focus on methods, systems, applications, challenges, and ethical considerations. Through lectures, discussions, case studies, assignments, and hands-on projects, students will gain a comprehensive understanding of AI technologies in healthcare, from medical imaging and clinical decision support to population health management and drug discovery. Additionally, the course will include discussions about ethical, legal, and social implications of AI and its potential applications in healthcare. Graduate/Undergraduate Equivalency: ELEC 509. Mutually Exclusive: Cannot register for ELEC 482 if student has credit for ELEC 509.",,Standard Letter,Taught in English,ARTIFICIAL INTELLIGENCE FOR HEALTH,ELEC 378 OR DSCI 303 OR COMP 341,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,AI FOR HEALTH
ELEC 483,483,Lecture,,3,ELEC,Electrical & Computer Eng.,"This course covers advanced statistical signal processing and machine learning approaches for modern neuroscience data (primarily many-channel spike trains). Topics include latent variable models, point processes, Bayesian inference, dimensionality reduction, dynamical systems, and spectral analysis. Neuroscience applications include modeling neural firing rates, spike sorting, decoding. Graduate/Undergraduate Equivalency: ELEC 548. Recommended Prerequisite(s): ELEC 475 and STAT 413 and COMP 540 and (ELEC 242 or ELEC 243) Mutually Exclusive: Cannot register for ELEC 483 if student has credit for ELEC 548.",,Standard Letter,Taught in English,MACHINE LEARNING AND SIGNAL PROCESSING FOR NEURO ENGINEERING,(MATH 354 OR MATH 355 OR CAAM 335 OR CMOR 302) AND (ELEC 303 OR STAT 305 OR STAT 310 OR ECON 307) AND (CAAM 210 OR CMOR 220 OR COMP 140),Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,NEURAL SIGNAL PROCESSING
ELEC 487,487,Lecture,,3,ELEC,Electrical & Computer Eng.,"The course covers the fundamental properties of light propagation and interaction
with matter under the approximations of geometrical optics and scalar wave optics, as well as the fundamentals of optical microscopy. The course emphasizes a system approach to the analysis and design of optical systems from a user and an engineering perspective, focusing on the physical intuition and underlying mathematical tools, and application of the physical concepts to topical engineering domains such as a selection of microscopy techniques. Students will have direct hands-on experience with optics and optical imaging systems in the classroom. Graduate/Undergraduate Equivalency: ELEC 582. Mutually Exclusive: Cannot register for ELEC 487 if student has credit for ELEC 582.",,Standard Letter,Taught in English,IMAGING OPTICS,PHYS 102 OR PHYS 112 OR PHYS 126,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,IMAGING OPTICS
ELEC 488,488,Lecture,,3,ELEC,Electrical & Computer Eng.,"This course presents the theoretical foundations of cellular and systems neuroscience from a quantitative perspective, integrating mathematical modeling, computational tools, and data analysis. Students will develop and apply differential equations, probabilistic models, and reverse correlation techniques to analyze neural activity and synaptic interactions. The course combines traditional lectures with student-led presentations in a seminar-style format. Coursework includes problem sets, coding-based assignments, and group projects. MATLAB or Python proficiency is strongly recommended. Cross-list: CMOR 415, NEUR 415, Graduate/Undergraduate Equivalency: ELEC 588. Recommended Prerequisite(s): This course requires coding in MATLAB or Python. As such, COMP 140, CMOR 220 or  some equivalent coding experience is highly recommended. Mutually Exclusive: Cannot register for ELEC 488 if student has credit for ELEC 588.",,Standard Letter,Taught in English,THEORETICAL NEUROSCIENCE: FROM CELLS TO LEARNING SYSTEMS,(MATH 102 OR MATH 106) AND (MATH 211 OR MATH 220 OR CMOR 304),Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,THEORETICAL NEUROSCIENCE
ELEC 489,489,Lecture,,3,ELEC,Electrical & Computer Eng.,"How does the brain work? Understanding the brain requires sophisticated theories to make sense of the collective actions of billions of neurons and trillions of synapses. Word theories are not enough; we need mathematical theories. The goal of this course is to provide an introduction to the mathematical theories of learning and computation by neural systems. These theories use concepts from dynamical systems (attractors, oscillations, chaos) and concepts from statistics (information, uncertainty, inference) to relate the dynamics and functions of neural networks. We will apply these theories to sensory computation, learning and memory, and motor control. Students will learn to formalize and mathematically answer questions about neural computations, including “what does a network compute?”, “how does it compute?”, and “why does it compute that way?”
Prerequisites: knowledge of calculus, linear algebra, and probability and statistics.
 Cross-list: CMOR 416, NEUR 416, Graduate/Undergraduate Equivalency: ELEC 589. Mutually Exclusive: Cannot register for ELEC 489 if student has credit for ELEC 589.",,Standard Letter,Taught in English,NEURAL COMPUTATION,,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,NEURAL COMPUTATION
ELEC 490,490,Research,,1 TO 6,ELEC,Electrical & Computer Eng.,"Theoretical and experimental investigations under staff direction. A research project plan should be prepared and approved by the faculty member advising the project. Information about ELEC 490 project plans is available on the ECE Web site on the Academics section under ECE forms. May be repeated for a total of 6 credit hours for undergraduates.
 Instructor Permission Required. Repeatable for Credit.",,Standard Letter,Taught in English,UNDERGRADUATE ELECTRICAL ENGINEERING RESEARCH PROJECTS,,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,UG ELEC ENG'G RES PROJECTS
ELEC 491,491,Research,,1 TO 6,ELEC,Electrical & Computer Eng.,"Vertically Integrated Projects (VIP) teams include students from multiple years working on one larger, multi-year project defined by the instructor. Students participating in VIP for 3 or more semesters may be eligible for the Distinction in Research and Creative Work graduation award. Instructor Permission Required.Graduate/Undergraduate Equivalency: ELEC 591. Repeatable for Credit.",,Standard Letter,Taught in English,UNDERGRADUATE ELECTRICAL ENGINEERING RESEARCH PROJECTS-VERTICALLY INTEGRATED PROJECTS,,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,UG ELEC ENG'G RESEARCH VIP
ELEC 494,494,Laboratory,,4,ELEC,Electrical & Computer Eng.,"Senior Design is a year-long course required of all BSEE-degree students. In order to fulfill the BSEE degree requirements, students must register for ELEC 494 and ELEC 496 for both the fall and spring semesters of the same academic year. The course is taught in conjunction with the Senior Design courses in BioEngineering and in Mechanical Engineering and Materials Science. Teams of students will design, construct, and document a prototype system to meet specifications determined by the team and the instructor. Senior design projects are the culmination of the Rice engineering experience. Cross-departmental projects are allowed and encouraged, and extensive use will be made of the Oshman Engineering Design Kitchen. Many projects will involve advisors from industrial affiliates. Throughout the year there will be several opportunities for presentations on the project. Top projects will be eligible for several awards from within Rice and outside the university, including some nation-wide competitions. Instructor Permission Required. Repeatable for Credit.",,Standard Letter,Taught in English,SENIOR DESIGN I,,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,SENIOR DESIGN I
ELEC 495,495,Transfer,,1 TO 4,ELEC,Electrical & Computer Eng.,This course is intended for transfer credit for courses not offered at Rice. Permission of ECE Undergraduate Committee and review by faculty in related specialization area is required. ELEC 495 is for Senior level ECE Specialization course credit. Department Permission Required. Repeatable for Credit.,,Transfer Courses,Taught in English,TRANSFER CREDIT - SENIOR,,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,TRANSFER CREDIT - SENIOR
ELEC 496,496,Laboratory,,3,ELEC,Electrical & Computer Eng.,"ELEC 496 is the second part of a year-long capstone design course required of all BSECE students. In order to fulfill the BSECE degree requirements, students must complete ELEC 494 (SENIOR DESIGN I) in fall semester and ELEC 496 (SENIOR DESIGN II) in spring semester of the same academic year. The course is taught in conjunction with the Senior Design courses in BioEngineering, Mechanical Engineering,  Materials Science and NanoEngineering, and Global Health Technologies. Teams of students will design, construct, and document a prototype system to meet specifications determined by the team and the instructor. Senior design projects are the culmination of the Rice engineering experience. Cross-departmental projects are allowed and encouraged, and extensive use will be made of the Oshman Engineering Design Kitchen. Many projects will involve advisors from industrial affiliates. Throughout the year, there will be several opportunities for presentations on the project.  All teams will present their projects at Rice's Engineering Design Showcase. Additionally, teams are required to enter at least one national or international competition or submit a publication for peer review in an appropriate conference or journal. Top projects will be eligible for several awards from within Rice and outside the university. Instructor Permission Required.",,Standard Letter,Taught in English,SENIOR DESIGN II,ELEC 494,,SENIOR DESIGN II
ELEC 498,498,Lecture/Laboratory,,3,ELEC,Electrical & Computer Eng.,"The course will provide the student with a mathematical introduction to many of the key ideas used in today's intelligent robot systems. The focus of the course is on the analysis and control of manipulators. The course will also give an overview of common approaches to building intelligent robot systems. Cross-list: COMP 498, MECH 498, Graduate/Undergraduate Equivalency: ELEC 598. Recommended Prerequisite(s): MECH 211 or CEVE 211 or MECH 310 Mutually Exclusive: Cannot register for ELEC 498 if student has credit for ELEC 598.",,Standard Letter,Taught in English,INTRODUCTION TO ROBOTICS,MATH 354 OR MATH 355 OR CAAM 335 OR CMOR 302,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,INTRODUCTION TO ROBOTICS
ELEC 502,502,Lecture,http://www.ece.rice.edu/~erzsebet/ANNcourse.html,3,ELEC,Electrical & Computer Eng.,"Review of major neural machine learning (Artificial Neural Network) paradigms. Analytical discussion of supervised and unsupervised neural learning algorithms and their relation to information theoretical methods. Practical applications to data analysis such as pattern recognition, clustering, classification, function approximation/regression, non-linear PCA, projection pursuit, independent component analysis, with lots of examples from image and digital processings. Details are posted at www.ece.rice.edu/~erzsebet/ANNcourse.html. Cross-list: COMP 502, STAT 502. Recommended Prerequisite(s): ELEC 430 and ELEC 431 or equivalent or permission of instructor.",,Standard Letter,Taught in English,NEURAL MACHINE LEARNING I,,Must be enrolled in one of the following Level(s): Graduate,NEURAL MACHINE LEARNING I
ELEC 503,503,Lecture,,1,ELEC,Electrical & Computer Eng.,"In the spirit of “Physics for Future Presidents” and “Energy for Future Presidents” by Richard Muller (professor at Berkeley), our goal for this course is to increase and enhance our basic, fundamental understanding of scientific topics that are part of our current events and present concerns and challenges.  We will use basic physics, chemistry, and biological principles to understand these topics at a more technical level than one can achieve by reading articles written by journalists. Our goal is to critically examine these currently popular technical topics to the depth at which a scientist or engineer can understand the basic principles and act as a science or technology advisor to government or political figures.  We will also tap into the history of various topics, to provide perspective on their current status.",,Standard Letter,Taught in English,SCIENCE AND TECHNOLOGY BEHIND THE HEADLINES,,Must be enrolled in one of the following Level(s): Graduate,SCIENCE BEHIND THE HEADLINES
ELEC 504,504,Lecture,,2,ELEC,Electrical & Computer Eng.,"Completing the last 10% of your  first research paper is one of the biggest hurdles for many PhD students. You have collected most of your data. You have a rough figure outline. You might even have a first draft of your manuscript. But getting from data to manuscript to accepted paper requires new skills. This course is designed for students with publication-quality data, and will address: How to frame the motivation, knowledge gap, and conclusion statement? How to edit for a particular journal target? How to arrange the results to support the strongest hypothesis? How to select appropriate reviewers? How to write (and rewrite) an abstract? How to write a cover letter? And finally, how to respond to reviewers and GET YOUR PAPER PUBLISHED? Students with publication-ready data will work through all of these issues together within this course, led by an experienced journal editor. Instructor Permission Required.Cross-list: CHBE 504, CHEM 504.",,Standard Letter,Taught in English,PUBLISHING YOUR FIRST SCIENTIFIC RESEARCH PAPER,,Must be enrolled in one of the following Level(s): Graduate,PUBLISHING YOUR FIRST PAPER
ELEC 506,506,Lecture,,3,ELEC,Electrical & Computer Eng.,"Algorithmic procedures for working with data have been developed by re-searchers from a wide range of areas. These include theoretical computer science (TCS), numerical linear algebra (NLA), statistics, applied mathematics, data analysis, machine learning, etc. As a consequence of the multi-disciplinarity of the area, researchers often fail to appreciate the underlying connections and the significance of contributions developed outside their own area.

In this course, rather than focusing on technical details, we will focus on highlighting for a broad, basic linear-algebra-savvy audience, the simplicity and generality of some core linear algebraic ideas. In particular, we will focus on two fundamental and much used matrix problems which have been at the center of recent developments: (1) Least Squares approximation and (2) Low-Rank Matrix Approximation. A key tool for achieving this goal are randomized algorithms which originated in TCS. Graduate/Undergraduate Equivalency: ELEC 406.",,Standard Letter,Taught in English,LINEAR ALGEBRA FOR DATA SCIENCE,,Must be enrolled in one of the following Level(s): Graduate,LINEAR ALGEBRA FOR DS
ELEC 507,507,Lecture,,3,ELEC,Electrical & Computer Eng.,"Analytical methods for the study of nonlinear systems are introduced, including singular point and phase plane analysis, the describing function technique, Lyapunov and Lagrangian state functions, stability analysis, bifurcation analysis, and chaotic behavior in nonlinear dynamic systems.  As a substrate for the study of nonlinear systems, numerical analysis of ordinary and partial differential equations, boundary value problems, simulation methods, parameter estimation and sensitivity analysis methods are also included.",,Standard Letter,Taught in English,NON LINEAR DYNAMIC SYSTEMS ANALYSIS,,Must be enrolled in one of the following Level(s): Graduate,NONLINEAR DYNAMIC SYSTEMS
ELEC 508,508,Lecture,,3,ELEC,Electrical & Computer Eng.,"Mathematical background and fundamental properties of nonlinear systems: Vector norms, matrix norms, matrix measures, existence and uniqueness of solutions of ordinary differential equations. Linearization, second order systems, periodic solutions, approximate methods. Lyapunov stability: Stability definitions, Lyapunov's direct method, invariance theory, stability of linear systems, Lyapunov's linearization method, converse theorems. Selected topics in nonlinear systems analysis and nonlinear control from: Input/Output stability: Small gain theorem, passivity theorem. Perturbation theory, averaging, and singular perturbations Feedback linearization control. Other methods in the control of nonlinear systems such as backstepping, sliding mode and other Lyapunov-based design methods.  Advanced nonlinear and adaptive robot control. Cross-list: CMOR 508, MECH 508.",,Standard Letter,Taught in English,NONLINEAR SYSTEMS: ANALYSIS AND CONTROL,,Must be enrolled in one of the following Level(s): Graduate,NONLINEAR SYSTEMS
ELEC 509,509,Lecture,,3,ELEC,Electrical & Computer Eng.,"This course introduces the latest artificial intelligence technology for healthcare. The class materials focus on methods, systems, applications, challenges, and ethical considerations. Through paper reading, lectures, discussions, case studies, assignments, and hands-on projects, students will gain a comprehensive understanding of AI technologies in healthcare, from medical imaging and clinical decision support to digital twins and intervention development. Additionally, the course will include discussions about ethical and social implications of AI and its potential applications in healthcare. Additional coursework required beyond the undergraduate course requirements. Graduate/Undergraduate Equivalency: ELEC 482. Mutually Exclusive: Cannot register for ELEC 509 if student has credit for ELEC 482.",,Standard Letter,Taught in English,ARTIFICIAL INTELLIGENCE FOR HEALTH,,Must be enrolled in one of the following Level(s): Graduate,AI FOR HEALTH
ELEC 510,510,Lecture,,3,ELEC,Electrical & Computer Eng.,"What is “cloud computing?” How do we build cloud-scale systems and components that are secure against malicious attacks, and scale to millions of users? Many of today’s services run inside the cloud – a set of geographically distributed data centers running heterogeneous software stacks. Cloud systems must scale across tens of thousands of machines, support millions of concurrent requests, and they must do so with high security guarantees. This course will start with the fundamentals of cloud computing, introduce key techniques in building scalable and secure systems and expose students to state-of-the-art research advances as well as emerging security threats and defenses in today’s cloud systems. Cross-list: COMP 536, Graduate/Undergraduate Equivalency: ELEC 410. Mutually Exclusive: Cannot register for ELEC 510 if student has credit for ELEC 410.",,Standard Letter,Taught in English,SECURE AND CLOUD COMPUTING,,Must be enrolled in one of the following Level(s): Graduate,SECURE & CLOUD COMPUTING
ELEC 511,511,Lecture/Laboratory,,3,ELEC,Electrical & Computer Eng.,"The course emphasizes the security of small embedded devices that are central to the Internet of Things (IoT) Era. We discuss the practical security attacks, challenges, constraints, and opportunities that arise in the IoT domain. Covered topics include security engineering, real world attacks, practical and side channel attacks, and hands-on lab/projects. Cross-list: COMP 508. Repeatable for Credit.",,Standard Letter,Taught in English,DESIGN AND ANALYSIS OF SECURE EMBEDDED SYSTEMS FOR IoT ERA,,Must be enrolled in one of the following Level(s): Graduate,SECURE EMBEDDED SYS FOR IoT
